Year,SSB,Catch
1981 ,2846036 ,788899 
1982 ,2299742 ,544462 
1983 ,1854216 ,511429 
1984 ,1756125 ,562849 
1985 ,2095632 ,638357 
1986 ,2274475 ,760657 
1987 ,1933155 ,638031 
1988 ,1638205 ,569671 
1989 ,1546404 ,618818 
1990 ,1356528 ,553618 
1991 ,1777830 ,407963 
1992 ,2460102 ,438562 
1993 ,2543671 ,440392 
1994 ,2535468 ,424782 
1995 ,2308211 ,508660 
1996 ,2207682 ,597489 
1997 ,2467358 ,640338 
1998 ,3685247 ,1080858 
1999 ,4449851 ,1248067 
2000 ,4233012 ,1503388 
2001 ,4575712 ,1560119 
2002 ,5401566 ,1711364 
2003 ,6875173 ,2202490 
2004 ,6778079 ,2319262 
2005 ,6031586 ,1998969 
2006 ,5891687 ,1854141 
2007 ,4673775 ,1558186 
2008 ,3593824 ,1167284 
2009 ,2754203 ,656865 
2010 ,2690487 ,478520 
2011 ,2717639 ,135746 
2012 ,3476370 ,326794 
2013 ,3803134 ,591003 
2014 ,4045006 ,1113687 
2015 ,4218197 ,1348361 
2016 ,4974200 ,1243182 
2017 ,6199504 ,1481707 
2018 ,6090429 ,1706765 
2019 ,5284355 ,1535424 
2020 ,4480563 ,1428866 
2021 ,4440379 ,1147426 
2022 ,4955777 ,1121336 
