Year,SSB,Catch
1980 ,4095763 ,734950 
1981 ,3610917 ,754045 
1982 ,3475244 ,716987 
1983 ,3685894 ,672283 
1984 ,3989717 ,641928 
1985 ,4015844 ,614371 
1986 ,3608231 ,602201 
1987 ,3575982 ,654992 
1988 ,3526114 ,680491 
1989 ,3297725 ,585920 
1990 ,3381620 ,626107 
1991 ,3278987 ,675665 
1992 ,3005914 ,760690 
1993 ,2665757 ,824568 
1994 ,2323071 ,819087 
1995 ,2290278 ,756277 
1996 ,2174598 ,563472 
1997 ,2144607 ,573029 
1998 ,2120261 ,666316 
1999 ,2301530 ,640309 
2000 ,2266622 ,738606 
2001 ,2147511 ,737463 
2002 ,2054100 ,771422 
2003 ,1993516 ,679287 
2004 ,2608232 ,660491 
2005 ,2404435 ,549514 
2006 ,2242585 ,481181 
2007 ,2380749 ,586206 
2008 ,2800351 ,623165 
2009 ,3480016 ,737969 
2010 ,3901258 ,877272 
2011 ,4504765 ,948963 
2012 ,4225513 ,899551 
2013 ,4705814 ,938299 
2014 ,5898500 ,1401788 
2015 ,5928946 ,1215827 
2016 ,5598144 ,1100135 
2017 ,5404599 ,1159641 
2018 ,4667166 ,1023144 
2019 ,3945436 ,839727 
2020 ,3570188 ,1039513 
2021 ,3891546 ,1081540 
